time	distance
1222	20.9827
1223	20.8788
1224	20.9556
1225	20.9488
1226	20.9475
1227	20.9446
1228	20.9465
1229	20.9963
1230	20.9533
1231	20.9697
1232	21.0442
1233	21.0426
1234	21.0985
1235	21.116
1236	21.089
1237	21.0516
1238	20.9999
1239	21.0914
1240	21.0581
1241	21.009
1242	21.071
1243	21.1337
1244	21.0615
1245	20.9905
1246	21.0112
1247	20.9992
1248	21.0637
1249	21.0598
1250	21.1037
1251	21.0938
1252	21.1311
1253	21.1688
1254	21.1942
1255	21.1828
1256	21.0537
1257	20.9073
1258	20.8529
1259	20.807
1260	20.8818
1261	20.8862
1262	20.9698
1263	20.8959
1264	20.9424
1265	20.9529
1266	20.9376
1267	20.9209
1268	20.8125
1269	20.7723
1270	20.8521
1271	20.8767
1272	20.9842
1273	20.9743
1274	20.9236
1275	20.8547
1276	20.8577
1277	20.9125
1278	20.9149
1279	20.9781
1280	21.0298
1281	20.9938
1282	20.9488
1283	20.9569
1284	21.0538
1285	21.0494
1286	21.0544
1287	21.0106
1288	20.9419
1289	20.9732
1290	21.0362
1291	21.1167
1292	21.076
1293	21.1078
1294	21.1469
1295	21.1332
1296	21.0928
1297	21.0951
1298	21.0628
1299	21.1286
1300	21.1413
1301	21.1303
1302	21.2273
1303	21.2162
1304	21.204
1305	21.2041
1306	21.2072
1307	21.1685
1308	21.2112
1309	21.2356
1310	21.2655
1311	21.2526
1312	21.2604
1313	21.2884
1314	21.3006
1315	21.363
1316	21.3534
1317	21.3482
1318	21.3811
1319	21.4838
1320	21.4935
1321	21.5685
1322	21.4617
1323	21.5041
1324	21.4766
1325	21.5272
1326	21.5113
1327	21.5025
1328	21.5819
1329	21.5067
1330	21.553
1331	21.5179
1332	21.5084
1333	21.5173
1334	21.4594
1335	21.5537
1336	21.6878
1337	21.6069
1338	21.6083
1339	21.5185
1340	21.5628
1341	21.5075
1342	21.3955
1343	21.446
1344	21.3711
1345	21.4893
1346	21.5068
1347	21.4702
1348	21.418
1349	21.3775
1350	21.412
1351	21.4333
1352	21.4654
1353	21.4536
1354	21.4596
1355	21.4555
1356	21.4683
1357	21.5211
1358	21.6116
1359	21.6565
1360	21.7426
1361	21.7444
1362	21.7548
1363	21.7639
1364	21.7792
1365	21.772
1366	21.8671
1367	21.956
1368	21.9281
1369	21.8821
1370	21.9061
1371	21.8258
1372	21.8481
1373	21.9101
1374	21.9617
1375	21.9927
1376	22.0169
1377	21.9984
1378	21.9737
1379	21.9881
1380	21.9459
1381	21.9699
1382	21.9687
1383	22.1187
1384	22.108
1385	22.0737
1386	22.0107
1387	21.9643
1388	22.0084
1389	21.9981
1390	21.9975
1391	22.1111
1392	22.0914
1393	22.1331
1394	22.1373
1395	22.042
1396	22.0942
1397	22.0417
1398	21.9576
1399	21.9241
1400	21.9052
1401	21.8674
1402	21.8611
1403	21.8617
1404	21.8728
1405	21.8902
1406	21.9262
1407	21.9293
1408	21.8951
1409	21.836
1410	21.8295
1411	21.7871
1412	21.8102
1413	21.8797
1414	21.8773
1415	21.8589
1416	21.9363
1417	21.9373
1418	21.9376
1419	21.9414
1420	21.9481
1421	21.955
1422	21.9473
1423	21.9095
1424	21.9517
1425	21.9197
1426	22.0289
1427	22.0703
1428	22.1005
1429	22.223
1430	22.2855
1431	22.3169
1432	22.4507
1433	22.4699
1434	22.4804
1435	22.4051
1436	22.4063
1437	22.4485
1438	22.485
1439	22.5164
1440	22.5815
1441	22.6053
1442	22.5835
1443	22.6627
1444	22.5833
1445	22.6036
1446	22.5829
1447	22.5952
1448	22.6526
1449	22.6727
1450	22.5722
1451	22.5097
1452	22.5073
1453	22.5174
1454	22.4593
1455	22.4663
1456	22.3928
1457	22.3915
1458	22.2922
1459	22.2344
1460	22.21
1461	22.1242
1462	22.1172
1463	22.1259
1464	22.1003
1465	22.0726
1466	22.1215
1467	22.1763
1468	22.2539
1469	22.2419
1470	22.2303
1471	22.3111
1472	22.3788
1473	22.3924
1474	22.3801
1475	22.3429
1476	22.2748
1477	22.317
1478	22.2652
1479	22.3613
1480	22.3036
1481	22.2873
1482	22.291
1483	22.3051
1484	22.3437
1485	22.3552
1486	22.3714
1487	22.3796
1488	22.4287
1489	22.4062
1490	22.3748
1491	22.3867
1492	22.414
1493	22.3816
1494	22.4042
1495	22.3439
1496	22.3606
1497	22.3659
1498	22.345
1499	22.3819
1500	22.3552
1501	22.3357
1502	22.328
1503	22.3672
1504	22.3561
1505	22.3969
1506	22.4595
1507	22.4392
1508	22.4259
1509	22.4182
1510	22.4043
1511	22.4256
1512	22.4002
1513	22.3605
1514	22.3357
1515	22.3435
1516	22.5376
1517	22.5401
1518	22.5256
1519	22.5604
1520	22.6192
1521	22.6591
1522	22.6836
1523	22.7177
1524	22.7346
1525	22.7085
1526	22.6442
1527	22.721
1528	22.717
1529	22.7368
1530	22.6745
1531	22.6787
1532	22.6253
1533	22.5965
1534	22.5855
1535	22.5569
1536	22.4494
1537	22.4795
1538	22.439
1539	22.3765
1540	22.4498
1541	22.4657
1542	22.5356
1543	22.5331
1544	22.5185
1545	22.5382
1546	22.5703
1547	22.6368
1548	22.6487
1549	22.7287
1550	22.8137
1551	22.8038
1552	22.7528
1553	22.7146
1554	22.6559
1555	22.6083
1556	22.6447
1557	22.5952
1558	22.5963
1559	22.5806
1560	22.6032
1561	22.6257
1562	22.6256
1563	22.6465
1564	22.6618
1565	22.7127
1566	22.7573
1567	22.7787
1568	22.8217
1569	22.7039
1570	22.7658
1571	22.7123
1572	22.7031
1573	22.6455
1574	22.7412
1575	22.6591
1576	22.656
1577	22.6787
1578	22.6651
1579	22.6255
1580	22.7419
1581	22.8374
1582	22.7838
1583	22.7529
1584	22.8385
1585	22.8338
1586	22.8076
1587	22.7441
1588	22.7107
1589	22.7042
1590	22.718
1591	22.7702
1592	22.6779
1593	22.7125
1594	22.6972
1595	22.7258
1596	22.7131
1597	22.7326
1598	22.7677
1599	22.7814
1600	22.8698
1601	22.9321
1602	23.0234
1603	23.0147
1604	23.0138
1605	23.0021
1606	22.9722
1607	22.977
1608	22.9696
1609	22.9048
1610	23.0156
1611	23.0082
1612	22.9488
1613	23.0371
1614	23.0031
1615	22.9583
1616	23.0212
1617	23.035
1618	22.9919
1619	22.9761
1620	23.0723
1621	23.1025
1622	23.0501
1623	23.1083
1624	23.0766
1625	23.0776
1626	23.107
1627	23.1736
1628	23.2037
1629	23.2461
1630	23.3275
1631	23.2461
1632	23.229
1633	23.2326
1634	23.2341
1635	23.261
1636	23.3848
1637	23.4047
1638	23.4201
1639	23.4137
1640	23.4202
1641	23.425
1642	23.4151
1643	23.4761
1644	23.4217
1645	23.3784
1646	23.3841
1647	23.4226
1648	23.4315
1649	23.4784
1650	23.601
1651	23.5665
1652	23.534
1653	23.5367
1654	23.5146
1655	23.6213
1656	23.6872
1657	23.6153
1658	23.5647
1659	23.4648
1660	23.4172
1661	23.4742
1662	23.4411
1663	23.478
1664	23.5924
1665	23.6004
1666	23.6788
1667	23.5872
1668	23.5389
1669	23.5245
1670	23.5543
1671	23.4941
1672	23.4736
1673	23.4719
1674	23.437
1675	23.4347
1676	23.4143
1677	23.4286
1678	23.3843
1679	23.4195
1680	23.4028
1681	23.4002
1682	23.3733
1683	23.3524
1684	23.4147
1685	23.4486
1686	23.4963
1687	23.5131
1688	23.4721
1689	23.4791
1690	23.5262
1691	23.53
1692	23.5094
1693	23.4865
1694	23.4802
1695	23.5237
1696	23.5467
1697	23.57
1698	23.6133
1699	23.5771
1700	23.5902
1701	23.6817
1702	23.6729
1703	23.6073
1704	23.567
1705	23.5165
1706	23.4899
1707	23.4814
1708	23.5323
1709	23.4805
1710	23.4203
1711	23.389
1712	23.3523
1713	23.3472
1714	23.278
1715	23.3524
1716	23.3451
1717	23.3895
1718	23.4711
1719	23.5716
1720	23.5884
1721	23.5566
1722	23.6718
1723	23.6921
1724	23.7276
1725	23.7675
1726	23.7471
1727	23.8041
1728	23.7221
1729	23.7929
1730	23.8456
1731	23.8412
1732	23.7898
1733	23.8233
1734	23.8236
1735	23.7989
1736	23.8338
1737	23.7661
1738	23.6935
1739	23.6724
1740	23.6746
1741	23.7361
1742	23.777
1743	23.7749
1744	23.8809
1745	23.8571
1746	23.8792
1747	23.8581
1748	23.8781
1749	23.9142
1750	23.9498
1751	23.9677
1752	23.9625
